id,class,exchange,symbol,name,status,tradable,marginable,maintenance_margin_requirement,margin_requirement_long,margin_requirement_short,shortable,easy_to_borrow,fractionable,attributes
7c08c7f6-6c4c-4c66-8b29-f0cb1a8af475,us_equity,ARCA,EVX,VanEck Environmental Services ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
4571cb09-67e9-4556-98f4-54da80ea363e,us_equity,NASDAQ,EVYM,Morgan Stanley ETF Trust Eaton Vance High Income Municipal ETF,active,True,True,30,30,30,False,False,False,[]
abcfa1f7-9165-4355-befa-020704b22351,us_equity,ARCA,EWA,iShares MSCI Australia ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
ad57f946-f4ab-41a9-856b-0368f0c77383,us_equity,ARCA,EWC,iShares MSCI Canada ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
6c324990-c1e8-4b2d-b92e-74f6f778fe54,us_equity,ARCA,EWD,iShares MSCI Sweden ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
8cbdc7b6-a9ac-4751-9f59-f6862c194bc7,us_equity,ARCA,EWG,iShares MSCI Germany ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
36f02f40-9717-40b1-8529-30b1dd258e2e,us_equity,ARCA,EWH,iShares MSCI Hong Kong ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
3d93508b-a5ae-432e-87d8-15786ec266b2,us_equity,ARCA,EWI,iShares MSCI Italy ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
6a362121-fe9b-4a7f-991e-5da1d1c9be18,us_equity,ARCA,EWJ,iShares MSCI Japan ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
695f30d0-487c-428c-8e1b-9e5838b11c40,us_equity,ARCA,EWK,iShares MSCI Belgium ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
a1e8ee74-6ef6-4d21-a20e-ff0611a818ac,us_equity,ARCA,EWL,iShares MSCI Switzerland ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
c3391101-c541-4aea-865b-b0948ca6b4bc,us_equity,ARCA,EWM,iShares MSCI Malaysia ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
adc39014-bf0f-4f32-9c06-0b823e44d606,us_equity,ARCA,EWN,iShares MSCI Netherlands ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
e167808d-26f0-438c-902f-70a12306e403,us_equity,ARCA,EWO,iShares MSCI Austria ETF,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled']
da220d0d-7e4b-466f-b898-00e26dcc40f1,us_equity,ARCA,EWP,iShares MSCI Spain ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
5a47695a-b281-4458-88c4-549ccef3ce60,us_equity,ARCA,EWQ,iShares MSCI France ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
95624fec-96d1-4e9f-8ca3-1dae70e3c413,us_equity,ARCA,EWS,iShares MSCI Singapore ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
d74ad66f-a072-40b5-99f7-684cbe09c586,us_equity,ARCA,EWT,iShares MSCI Taiwan ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
2ef40e5c-c51d-4104-a51e-cf6af176257f,us_equity,ARCA,EWU,iShares MSCI United Kingdom ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
9cb59e5a-8d79-494f-879e-9cd06c1d33d5,us_equity,BATS,EWUS,iShares MSCI United Kingdom Small-Cap ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
ea221bdf-5486-44c9-9855-be235d54f5a1,us_equity,ARCA,EWW,iShares MSCI Mexico ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
df3f7512-2a1b-42e6-b56d-dcea80202b2f,us_equity,ARCA,EWY,iShares MSCI South Korea ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
43fe249c-7552-4d8d-b12f-a86cf6b6bd3a,us_equity,ARCA,EWZ,iShares MSCI Brazil ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options', 'options_late_close']"
4b9fe8d5-488d-42e9-a5cc-646a9318b273,us_equity,NASDAQ,EWZS,iShares MSCI Brazil Small-Cap ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
b1048630-dff4-46a1-81b3-ce9646137372,us_equity,ARCA,EXI,iShares Global Industrials ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
8744430f-e741-4a1f-ade3-5e02f587f85b,us_equity,NASDAQ,EXUS,Macquarie ETF Trust Macquarie Focused International Core ETF,active,True,True,30,30,30,False,False,False,[]
9bb77a14-1139-4bdc-abb7-21e453a64f9e,us_equity,NASDAQ,EYEG,"AB Active ETFs, Inc. AB Corporate Bond ETF",active,True,True,30,30,30,False,False,False,[]
82124676-0039-4b57-83e0-fd5ad92411d9,us_equity,BATS,EYLD,Cambria Emerging Shareholder Yield ETF,active,True,True,30,30,30,True,True,True,['fractional_eh_enabled']
1a7fde4c-25fb-4261-95e9-06f5b31d830f,us_equity,ARCA,EZA,iShares MSCI South Africa ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
35a7c2ca-e871-405d-bff7-b5bbf04f5c36,us_equity,BATS,EZBC,Franklin Bitcoin ETF,active,True,True,30,30,30,True,True,True,['fractional_eh_enabled']
66fdef6d-ce7a-48bd-8125-a183906b4b19,us_equity,BATS,EZPZ,Franklin Crypto Index ETF,active,True,True,30,30,30,False,False,False,[]
335d0ca6-63dc-4651-a50c-d493a0a293f5,us_equity,BATS,EZU,iShare MSCI Eurozone ETF of ISHARES INC.,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
2736d357-ba6f-4cce-8150-b628da72836d,us_equity,NASDAQ,FAAR,First Trust Exchange-Traded Fund VII First Trust Alternative Absolute Return Strategy ETF,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled']
a12cf9f1-a8a1-4721-abf9-2c5ef235f849,us_equity,ARCA,FAI,First Trust Bloomberg Artificial Intelligence ETF,active,True,True,30,30,30,False,False,False,[]
28045329-02ed-41e1-9e99-89522b571ab1,us_equity,NASDAQ,FALN,iShares Trust iShares Fallen Angels USD Bond ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
17d76396-48c0-487a-a457-3e00b41e7e2f,us_equity,ARCA,FAN,First Trust Global Wind Energy ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
396db813-7748-4976-a71c-8f070d4fd9ea,us_equity,BATS,FAPR,FT Vest U.S. Equity Buffer ETF - April,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled']
f3a09d09-64bb-4c8f-8e6b-c0e30f7ed55c,us_equity,ARCA,FARX,Frontier Asset Absolute Return ETF,active,True,True,30,30,30,False,False,False,[]
c9e2889f-4951-4ff0-b516-6fe34f7a6b36,us_equity,BATS,FAUG,FT Vest U.S. Equity Buffer ETF - August,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled']
ab5bccc3-da02-4ffa-b183-11e2a658443b,us_equity,BATS,FB,ProShares S&P 500 Dynamic Buffer ETF,active,True,True,30,30,30,False,False,False,[]
77a72a03-4dce-4388-b7bf-ddad947ef606,us_equity,BATS,FBCG,Fidelity Blue Chip Growth ETF,active,True,True,30,30,30,True,True,True,['fractional_eh_enabled']
fd9fc84d-716b-4305-ae77-bf7c6ca3fe99,us_equity,BATS,FBCV,Fidelity Blue Chip Value ETF,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled']
e3e949bc-fc8d-414c-833b-cef2697303b2,us_equity,NASDAQ,FBL,GraniteShares ETF Trust GraniteShares 2x Long META Daily ETF,active,True,True,30,30,30,False,False,False,['has_options']
d04b9eb2-1d40-420b-b13a-ace4a6a07bc9,us_equity,ARCA,FBND,Fidelity Total Bond ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
26e43ec8-5b5d-471d-b4a6-a40003b761ab,us_equity,NASDAQ,FBOT,Fidelity Covington Trust Fidelity Disruptive Automation ETF,active,True,True,30,30,30,False,False,False,['has_options']
dc4321f6-2605-43d8-806f-e57de72e74b1,us_equity,ARCA,FBY,YieldMax META Option Income Strategy ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
3cdf43f0-df71-4b83-83a4-00c571897cc5,us_equity,NASDAQ,FCAL,First Trust Exchange-Traded Fund III First Trust California Municipal High Income ETF,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled']
87a6a9f5-44f9-41dc-9d37-08e7520c57d0,us_equity,ARCA,FCBD,Frontier Asset Core Bond ETF,active,True,True,30,30,30,False,False,False,[]
b174b339-2c3b-4007-97f2-1f3381acd159,us_equity,NASDAQ,FCEF,First Trust Exchange-Traded Fund VIII First Trust Income Opportunities ETF,active,True,True,30,30,30,False,False,False,[]
b11aa03d-dd24-4a0e-85a2-be9478a7d513,us_equity,ARCA,FCFY,First Trust S&P 500 Diversified Free Cash Flow ETF,active,True,True,30,30,30,False,False,False,[]
ddfd77d3-b829-4ffd-b101-40bd96ab00b7,us_equity,ARCA,FCG,First Trust Natural Gas ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
f09b3d49-fa63-4658-a23f-8c61d7e21992,us_equity,ARCA,FCOM,Fidelity MSCI Communication Services Index ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']"
d2163b9f-6269-43db-8fc5-d33f564b7e34,us_equity,ARCA,FCOR,Fidelity Corporate Bond ETF,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled']
dc71011a-838b-41d5-8139-fcc7c4cee3db,us_equity,BATS,FCPI,Fidelity Stocks for Inflation ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']"
93bd131c-199e-4d68-9441-f607da2e8327,us_equity,ARCA,FCSH,Federated Hermes Short Duration Corporate ETF,active,True,True,30,30,30,False,False,False,[]
