id,class,exchange,symbol,name,status,tradable,marginable,maintenance_margin_requirement,margin_requirement_long,margin_requirement_short,shortable,easy_to_borrow,fractionable,attributes,min_order_size,min_trade_increment,price_increment
959f1dcb-5710-4f25-bff4-fe1ac0105d78,us_equity,AMEX,EVV,Eaton Vance Limited Duration Income Fund,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled'],,,
d0e67a90-e821-421b-9478-d1b3e524d27c,us_equity,OTC,EVVTY,Evolution AB American Depositary Receipts - Unsponsored,active,True,False,100,100,100,False,False,True,[],,,
7c08c7f6-6c4c-4c66-8b29-f0cb1a8af475,us_equity,ARCA,EVX,VanEck Environmental Services ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
4571cb09-67e9-4556-98f4-54da80ea363e,us_equity,NASDAQ,EVYM,Morgan Stanley ETF Trust Eaton Vance High Income Municipal ETF,active,True,True,30,30,30,False,False,False,[],,,
0ffbf7a5-d5ed-4e83-8499-2d58645e4d9c,us_equity,NYSE,EW,Edwards Lifesciences Corp,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
abcfa1f7-9165-4355-befa-020704b22351,us_equity,ARCA,EWA,iShares MSCI Australia ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
5f0639ed-3b74-473d-81d9-d7eb642c1722,us_equity,NASDAQ,EWBC,"East West Bancorp, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
ad57f946-f4ab-41a9-856b-0368f0c77383,us_equity,ARCA,EWC,iShares MSCI Canada ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
ac00ab5a-8a96-41e7-8432-6c5aaf95f7c9,us_equity,NASDAQ,EWCZ,"European Wax Center, Inc. Class A Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
6c324990-c1e8-4b2d-b92e-74f6f778fe54,us_equity,ARCA,EWD,iShares MSCI Sweden ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
8cbdc7b6-a9ac-4751-9f59-f6862c194bc7,us_equity,ARCA,EWG,iShares MSCI Germany ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
36f02f40-9717-40b1-8529-30b1dd258e2e,us_equity,ARCA,EWH,iShares MSCI Hong Kong ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
3d93508b-a5ae-432e-87d8-15786ec266b2,us_equity,ARCA,EWI,iShares MSCI Italy ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
6a362121-fe9b-4a7f-991e-5da1d1c9be18,us_equity,ARCA,EWJ,iShares MSCI Japan ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
695f30d0-487c-428c-8e1b-9e5838b11c40,us_equity,ARCA,EWK,iShares MSCI Belgium ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
a1e8ee74-6ef6-4d21-a20e-ff0611a818ac,us_equity,ARCA,EWL,iShares MSCI Switzerland ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
c3391101-c541-4aea-865b-b0948ca6b4bc,us_equity,ARCA,EWM,iShares MSCI Malaysia ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
adc39014-bf0f-4f32-9c06-0b823e44d606,us_equity,ARCA,EWN,iShares MSCI Netherlands ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
e167808d-26f0-438c-902f-70a12306e403,us_equity,ARCA,EWO,iShares MSCI Austria ETF,active,True,True,30,30,30,False,False,True,['fractional_eh_enabled'],,,
da220d0d-7e4b-466f-b898-00e26dcc40f1,us_equity,ARCA,EWP,iShares MSCI Spain ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
5a47695a-b281-4458-88c4-549ccef3ce60,us_equity,ARCA,EWQ,iShares MSCI France ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
95624fec-96d1-4e9f-8ca3-1dae70e3c413,us_equity,ARCA,EWS,iShares MSCI Singapore ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
d74ad66f-a072-40b5-99f7-684cbe09c586,us_equity,ARCA,EWT,iShares MSCI Taiwan ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
1d9bac44-bb0c-4169-b60e-d8069eb0bf0e,us_equity,NASDAQ,EWTX,"Edgewise Therapeutics, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
2ef40e5c-c51d-4104-a51e-cf6af176257f,us_equity,ARCA,EWU,iShares MSCI United Kingdom ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
9cb59e5a-8d79-494f-879e-9cd06c1d33d5,us_equity,BATS,EWUS,iShares MSCI United Kingdom Small-Cap ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
5e0c0554-733b-4c28-9611-025d4dd16b7f,us_equity,ARCA,EWV,ProShares Trust UltraShort MSCI Japan,active,True,True,100,100,100,False,False,False,['has_options'],,,
ea221bdf-5486-44c9-9855-be235d54f5a1,us_equity,ARCA,EWW,iShares MSCI Mexico ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
df3f7512-2a1b-42e6-b56d-dcea80202b2f,us_equity,ARCA,EWY,iShares MSCI South Korea ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
43fe249c-7552-4d8d-b12f-a86cf6b6bd3a,us_equity,ARCA,EWZ,iShares MSCI Brazil ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options', 'options_late_close']",,,
4b9fe8d5-488d-42e9-a5cc-646a9318b273,us_equity,NASDAQ,EWZS,iShares MSCI Brazil Small-Cap ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
52f26058-2c7b-48ea-bf35-debdffce1496,us_equity,NASDAQ,EXAS,Exact Sciences Corporation Common Stock,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
21a5e17d-c566-4f1b-8c25-0a505ba37478,us_equity,NASDAQ,EXC,Exelon Corporation Common Stock,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
ae7b5317-8b41-41df-b7f8-22c4de74b832,us_equity,NASDAQ,EXE,Expand Energy Corporation Common Stock,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
c3dae5a1-f58f-467d-9fb0-d9946716cd9d,us_equity,NASDAQ,EXEEL,Expand Energy Corporation Class C Warrants,active,True,True,30,30,30,False,False,False,[],,,
401b0d58-7a46-47a6-9752-409e1b40ba72,us_equity,NASDAQ,EXEEW,Expand Energy Corporation Class A Warrants,active,True,True,30,30,30,False,False,False,[],,,
c3401a9e-fdef-4b3f-a000-a71b5076e7cd,us_equity,NASDAQ,EXEEZ,Expand Energy Corporation Class B Warrants,active,True,True,30,30,30,False,False,False,[],,,
2dc1e22f-705f-4ad6-9c42-168259d856d0,us_equity,NASDAQ,EXEL,"Exelixis, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
6fc95556-3658-4362-be11-5076e7783557,us_equity,NASDAQ,EXFY,"Expensify, Inc. Class A Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
dd24af6e-9cf4-40ef-9a02-613ef683584f,us_equity,NYSE,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,active,True,True,30,30,30,True,True,False,[],,,
b1048630-dff4-46a1-81b3-ce9646137372,us_equity,ARCA,EXI,iShares Global Industrials ETF,active,True,True,30,30,30,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
53adc2e4-2912-43be-b193-8f053c15d219,us_equity,NYSE,EXK,Endeavour Silver Corp.,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
384ebb42-5fb6-49a9-b9ae-44c55a173ac4,us_equity,NASDAQ,EXLS,"ExlService Holdings, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
d1152e67-a30f-4a4b-9f47-b79532309a91,us_equity,AMEX,EXOD,"Exodus Movement, Inc.",active,True,True,30,30,30,False,False,False,[],,,
b7b0d96e-2934-4ebd-825a-19ac9e035b7f,us_equity,NASDAQ,EXOZ,eXoZymes Inc. Common Stock,active,True,True,30,30,30,False,False,False,[],,,
d0312523-d145-4bff-b072-691921f43f3e,us_equity,NYSE,EXP,"Eagle Materials, Inc.",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
a4965b33-8fae-4700-a0f7-07409250f8b5,us_equity,NYSE,EXPD,"Expeditors International of Washington, Inc.",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
3e3bbdb0-d6a4-4db1-8fbb-133f75fd4f66,us_equity,NASDAQ,EXPE,"Expedia Group, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
8b38e07c-1b9e-49f7-a4e7-aa597b799146,us_equity,NASDAQ,EXPI,"eXp World Holdings, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
aaddd843-ad20-43b0-b6d2-6a156c081ee8,us_equity,NASDAQ,EXPO,"Exponent, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
95631989-09cd-4964-860e-f766dfba5081,us_equity,NYSE,EXR,"Extra Space Storage, Inc.",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
89c94077-af72-4632-9b70-55543bf76f9a,us_equity,NASDAQ,EXTR,"Extreme Networks, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
8744430f-e741-4a1f-ade3-5e02f587f85b,us_equity,NASDAQ,EXUS,Macquarie ETF Trust Macquarie Focused International Core ETF,active,True,True,30,30,30,False,False,False,[],,,
4f42e4ef-1f4c-4c7f-9a92-6a25c999031d,us_equity,NYSE,FDX,FedEx Corporation,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
24043742-bf48-4955-806c-aaf3596e3a0d,us_equity,NASDAQ,EYE,"National Vision Holdings, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
9bb77a14-1139-4bdc-abb7-21e453a64f9e,us_equity,NASDAQ,EYEG,"AB Active ETFs, Inc. AB Corporate Bond ETF",active,True,True,30,30,30,False,False,False,[],,,
82124676-0039-4b57-83e0-fd5ad92411d9,us_equity,BATS,EYLD,Cambria Emerging Shareholder Yield ETF,active,True,True,30,30,30,True,True,True,['fractional_eh_enabled'],,,
dbdcd746-411e-4ddc-ba4a-cdea02f4f9af,us_equity,NASDAQ,EYPT,"EyePoint Pharmaceuticals, Inc. Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
ce2fe586-5418-459e-8cff-f6596a4393dc,us_equity,OTC,EYUBY,Electricity Generating Public Co Ltd Unsponsored ADR (Thailand),active,True,False,100,100,100,False,False,True,[],,,
1a7fde4c-25fb-4261-95e9-06f5b31d830f,us_equity,ARCA,EZA,iShares MSCI South Africa ETF,active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
35a7c2ca-e871-405d-bff7-b5bbf04f5c36,us_equity,BATS,EZBC,Franklin Bitcoin ETF,active,True,True,30,30,30,True,True,True,['fractional_eh_enabled'],,,
057b082e-9dc0-4996-9553-8933cafa37f8,us_equity,ARCA,EZJ,ProShares Ultra MSCI Japan,active,True,True,100,100,100,False,False,True,"['fractional_eh_enabled', 'has_options']",,,
c914f85d-ef10-4d07-ad7f-acf429514d46,us_equity,NASDAQ,EZPW,"EZCORP, Inc. Class A Non Voting Common Stock",active,True,True,30,30,30,True,True,True,"['fractional_eh_enabled', 'has_options']",,,
